SampleID	SampleType	Species	Latin	Treatment	SideTreatment	Treatment_all	Replicate	RootType	Divison	SubDivision	Timepoint	Plant	Root	Experiment	Notes
ROOT-PROSO-D1-2a	Root	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D1-3a	Root	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D1-3b	Root	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	3b	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D2-1a	Root	Proso Millet	Panicum miliaceum	Moderate Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D2-1b	Root	Proso Millet	Panicum miliaceum	Moderate Drought	NA	Drought	1b	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D2-2a	Root	Proso Millet	Panicum miliaceum	Moderate Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D2-3a	Root	Proso Millet	Panicum miliaceum	Moderate Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D3-1a	Root	Proso Millet	Panicum miliaceum	Control	NA	Watered	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D3-2b	Root	Proso Millet	Panicum miliaceum	Control	NA	Watered	2b	NA	NA	NA	NA	NA	NA	Drought Levels	
ROOT-PROSO-D3-3a	Root	Proso Millet	Panicum miliaceum	Control	NA	Watered	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
Root-SP-D1-A	Root	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	1	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-D1-B	Root	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	1	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-D2-A	Root	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	2	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-D2-B	Root	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	2	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-D3-A	Root	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	3	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-D3-B	Root	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	3	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-W1-A	Root	Japanese Millet	Echinochloa esculenta	Watered	FullWater	Watered	1	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-W1-B	Root	Japanese Millet	Echinochloa esculenta	Watered	FullWater	Watered	1	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-W2-A	Root	Japanese Millet	Echinochloa esculenta	Watered	FullWater	Watered	2	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-W2-B	Root	Japanese Millet	Echinochloa esculenta	Watered	FullWater	Watered	2	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-W3-A	Root	Japanese Millet	Echinochloa esculenta	Watered	FullWater	Watered	3	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-W3-B	Root	Japanese Millet	Echinochloa esculenta	Watered	FullWater	Watered	3	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-WD1-A	Root	Japanese Millet	Echinochloa esculenta	Split	SplitWater	Watered	1	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-WD1-B	Root	Japanese Millet	Echinochloa esculenta	Split	SplitDrought	Drought	1	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-WD2-A	Root	Japanese Millet	Echinochloa esculenta	Split	SplitWater	Watered	2	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-WD2-B	Root	Japanese Millet	Echinochloa esculenta	Split	SplitDrought	Drought	2	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-WD3-A	Root	Japanese Millet	Echinochloa esculenta	Split	SplitWater	Watered	3	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SP-WD3-B	Root	Japanese Millet	Echinochloa esculenta	Split	SplitDrought	Drought	3	NA	NA	NA	NA	NA	NA	Split Pot	
Root-SR-D1-D	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	1	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D1-L	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	1	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D2-D	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	2	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D2-L	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	2	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D3-D	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	3	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D3-L	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	3	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D4-D	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	4	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D4-L	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	4	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D5-D	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	5	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-D5-L	Root	Japanese Millet	Echinochloa esculenta	Drought	NA	Drought	5	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W1-D	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	1	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W1-L	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	1	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W2-D	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	2	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W2-L	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	2	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W3-D	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	3	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W3-L	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	3	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W4-D	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	4	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W4-L	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	4	Living	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W5-D	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	5	Dead	NA	NA	NA	NA	NA	Live/Dead Root	
Root-SR-W5-L	Root	Japanese Millet	Echinochloa esculenta	Watered	NA	Watered	5	Living	NA	NA	NA	NA	NA	Live/Dead Root	
SO-Wk1-R1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRoot	AllRoot	1	Wk1-Pre	Wk1-Pre-AllRoot	Spatial Organization	
SO-Wk1-R2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SingleRoot	1	Wk1-Pre	Wk1-Pre-Single1	Spatial Organization	
SO-Wk1-R2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SingleRoot	1	Wk1-Pre	Wk1-Pre-Single2	Spatial Organization	
SO-Wk1-R2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SingleRoot	1	Wk1-Pre	Wk1-Pre-Single3	Spatial Organization	
SO-Wk1-SOIL	Soil	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	Soil	Soil	1	Wk1-Pre	NA	Spatial Organization	
SO-Wk1-Z1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRhizo	AllRhizo	1	Wk1-Pre	NA	Spatial Organization	
SO-Wk1-Z2-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRhizo	SingleRhizo	1	Wk1-Pre	NA	Spatial Organization	
SO-Wk1-Z2-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRhizo	SingleRhizo	1	Wk1-Pre	NA	Spatial Organization	
SO-Wk1-Z2-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRhizo	SingleRhizo	1	Wk1-Pre	NA	Spatial Organization	
SO-Wk10-5C-R1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRoot	AllRoot	11	Wk10-C	Wk10-C-AllRoot	Spatial Organization	
SO-Wk10-5C-R2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SingleRoot	11	Wk10-C	Wk10-C-Single1	Spatial Organization	
SO-Wk10-5C-R2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SingleRoot	11	Wk10-C	Wk10-C-Single2	Spatial Organization	
SO-Wk10-5C-R2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SingleRoot	11	Wk10-C	Wk10-C-Single3	Spatial Organization	
